,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9272727273,0.8947368421,0.9107142857
1,OG-2,1.0,1.0,1.0
2,OG-3,1.0,1.0,1.0
3,OG-4,None,None,None
4,OG-5,None,None,None
5,OG-6,None,None,None
6,OG-7,None,None,None
7,OG-8,0.0,0.0,0.0
8,OG-9,1.0,1.0,1.0
9,OG-10,1.0,1.0,1.0
10,OG-11,0.96,0.96,0.96
11,OG-12,1.0,1.0,1.0
12,OG-13,None,None,None
13,OS-1,0.0,0.0,0.0
14,OS-2A,0.5,0.2222222222,0.3076923077
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9259259259,0.9615384615
17,OS-4,1.0,1.0,1.0
18,OS-5,1.0,0.25,0.4
19,OS-6,0.8,0.7272727273,0.7619047619
20,OS-7,1.0,1.0,1.0
21,OS-8,0.2777777778,1.0,0.4347826087
22,OS-9,0.0,0.0,0.0
23,OS-10,1.0,1.0,1.0
24,OS-11,1.0,1.0,1.0
25,OS-12A,1.0,0.875,0.9333333333
26,OS-12B,0.0,0.0,0.0
27,OS-13,0.5,0.2,0.2857142857
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,None,None,None
32,OS-18A,0.7222222222,0.7647058824,0.7428571429
33,OS-18B,0.0,0.0,0.0
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.0,0.0,0.0
36,OS-20B,0.0,0.0,0.0
37,OS-21,0.7407407407,1.0,0.8510638298
38,OS-22,1.0,1.0,1.0
39,OS-23,0.0,0.0,0.0
40,OS-24,1.0,1.0,1.0
41,OS-25,0.2222222222,1.0,0.3636363636
42,OS-26,None,None,None
43,OS-27,0.0,0.0,0.0
44,OS-28,0.9722222222,0.9459459459,0.9589041096
45,OS-29,0.0,0.0,0.0
46,OS-30,1.0,0.9787234043,0.9892473118
47,OS-31,None,None,None
48,OS-32,0.6666666667,1.0,0.8
49,OS-33,0.0,0.0,0.0
50,OS-34,0.0,0.0,0.0
51,OS-35,0.0,0.0,0.0
52,I,0.8260869565,0.5135135135,0.6333333333
53,II,0.6666666667,0.5,0.5714285714
54,III-bis,0.3333333333,0.125,0.1818181818
55,IV,0.5454545455,0.5,0.5217391304
56,IV-bis,0.0,0.0,0.0
57,V,0.6666666667,0.5,0.5714285714
58,VI,1.0,0.6666666667,0.8
59,VII,0.0,0.0,0.0
60,VIII,0.5,0.3333333333,0.4
