,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9230769231,0.9230769231,0.9230769231
1,OG-2,0.6666666667,1.0,0.8
2,OG-3,1.0,1.0,1.0
3,OG-4,None,None,None
4,OG-5,None,None,None
5,OG-6,None,None,None
6,OG-7,None,None,None
7,OG-8,0.0,0.0,0.0
8,OG-9,1.0,1.0,1.0
9,OG-10,None,None,None
10,OG-11,0.9,0.9,0.9
11,OG-12,1.0,1.0,1.0
12,OG-13,None,None,None
13,OS-1,None,None,None
14,OS-2A,0.0,0.0,0.0
15,OS-2B,None,None,None
16,OS-3,0.0,0.0,0.0
17,OS-4,1.0,0.5,0.6666666667
18,OS-5,None,None,None
19,OS-6,0.75,0.75,0.75
20,OS-7,1.0,1.0,1.0
21,OS-8,1.0,0.6666666667,0.8
22,OS-9,None,None,None
23,OS-10,0.0,0.0,0.0
24,OS-11,None,None,None
25,OS-12A,1.0,1.0,1.0
26,OS-12B,None,None,None
27,OS-13,1.0,1.0,1.0
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,None,None,None
32,OS-18A,0.5,0.3333333333,0.4
33,OS-18B,None,None,None
34,OS-19,None,None,None
35,OS-20A,None,None,None
36,OS-20B,None,None,None
37,OS-21,0.6666666667,1.0,0.8
38,OS-22,None,None,None
39,OS-23,None,None,None
40,OS-24,1.0,0.5,0.6666666667
41,OS-25,None,None,None
42,OS-26,None,None,None
43,OS-27,None,None,None
44,OS-28,1.0,0.875,0.9333333333
45,OS-29,None,None,None
46,OS-30,0.8,1.0,0.8888888889
47,OS-31,None,None,None
48,OS-32,0.5,1.0,0.6666666667
49,OS-33,None,None,None
50,OS-34,None,None,None
51,OS-35,None,None,None
52,I,0.0,0.0,0.0
53,II,1.0,0.5,0.6666666667
54,III-bis,0.0,0.0,0.0
55,IV,0.0,0.0,0.0
56,IV-bis,None,None,None
57,V,0.5,1.0,0.6666666667
58,VI,1.0,0.5,0.6666666667
59,VII,None,None,None
60,VIII,None,None,None
