x	        f	        p	        r
0.0     0.580310048008874	    0.651748779828758	    0.5604720526894
10.0     0.621588505830772	    0.710330294518518	    0.586004636081008
20.0     0.674092922924492	    0.760394157908184	    0.635297420642565
30.0     0.689528152314602	    0.770511949068437	    0.653160236276783
40.0     0.691076732891342	    0.771459778732734	    0.653572950699032
50.0     0.684416231965826	    0.744406508882257	    0.656841393547556
60.0     0.712242282970366	    0.784295560070286	    0.683811102004517
70.0     0.730207623196546	    0.807727544985123	    0.691405664459988
80.0     0.756018868236182	    0.823291384192831	    0.722772375070792
90.0     0.767396194077649	    0.856270597183048	    0.724055035006486
100.0	0.835722280297809  	    0.885032622780978	    0.803555572698031

