,Labels,Regex P,Regex R,Regex F
0,OG-1,1.0,0.956953642384106,0.9780033840947547
1,OG-2,1.0,0.9722222222222222,0.9859154929577464
2,OG-3,1.0,0.9152542372881356,0.9557522123893806
3,OG-4,1.0,0.5,0.6666666666666666
4,OG-5,None,None,None
5,OG-6,1.0,0.8888888888888888,0.9411764705882353
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,1.0,1.0,1.0
9,OG-10,1.0,1.0,1.0
10,OG-11,1.0,0.9699570815450643,0.9847494553376905
11,OG-12,1.0,0.9,0.9473684210526316
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,1.0,0.9285714285714286,0.962962962962963
14,OS-2A,0.9411764705882353,0.6666666666666666,0.7804878048780487
15,OS-2B,1.0,1.0,1.0
16,OS-3,1.0,0.9891304347826086,0.994535519125683
17,OS-4,0.9583333333333334,0.92,0.9387755102040817
18,OS-5,1.0,0.9,0.9473684210526316
19,OS-6,1.0,0.9550561797752809,0.9770114942528736
20,OS-7,0.9512195121951219,0.8297872340425532,0.8863636363636364
21,OS-8,0.9473684210526315,0.8181818181818182,0.8780487804878049
22,OS-9,1.0,1.0,1.0
23,OS-10,1.0,1.0,1.0
24,OS-11,1.0,0.8333333333333334,0.9090909090909091
25,OS-12A,0.8461538461538461,0.6470588235294118,0.7333333333333334
26,OS-12B,1.0,1.0,1.0
27,OS-13,1.0,1.0,1.0
28,OS-14,1.0,1.0,1.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,1.0,1.0,1.0
32,OS-18A,1.0,0.8301886792452831,0.9072164948453608
33,OS-18B,1.0,1.0,1.0
34,OS-19,1.0,1.0,1.0
35,OS-20A,1.0,1.0,1.0
36,OS-20B,1.0,1.0,1.0
37,OS-21,1.0,0.8412698412698413,0.9137931034482758
38,OS-22,1.0,1.0,1.0
39,OS-23,1.0,0.8,0.888888888888889
40,OS-24,0.9803921568627451,0.9615384615384616,0.970873786407767
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,1.0,0.9580838323353293,0.9785932721712538
45,OS-29,1.0,1.0,1.0
46,OS-30,1.0,0.9887005649717514,0.9943181818181819
47,OS-31,None,None,None
48,OS-32,0.8947368421052632,1.0,0.9444444444444444
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,0.9746835443037974,0.7475728155339806,0.8461538461538461
53,II,0.9122807017543859,0.8,0.8524590163934427
54,III-bis,1.0,0.5357142857142857,0.6976744186046512
55,IV,0.5806451612903226,0.9230769230769231,0.7128712871287128
56,IV-bis,1.0,0.6111111111111112,0.7586206896551725
57,V,1.0,0.7307692307692307,0.8444444444444443
58,VI,1.0,0.7692307692307693,0.8695652173913044
59,VII,1.0,0.5,0.6666666666666666
60,VIII,1.0,0.7619047619047619,0.8648648648648648
