,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9893238434163701,0.9205298013245033,0.9536878216123499
1,OG-2,1.0,0.8888888888888888,0.9411764705882353
2,OG-3,0.94,0.7966101694915254,0.8623853211009174
3,OG-4,0.0,0.0,0.0
4,OG-5,None,None,None
5,OG-6,1.0,0.2222222222222222,0.3636363636363636
6,OG-7,None,None,None
7,OG-8,1.0,1.0,1.0
8,OG-9,0.9411764705882353,1.0,0.9696969696969697
9,OG-10,1.0,0.6923076923076923,0.8181818181818181
10,OG-11,0.9907834101382489,0.9227467811158798,0.9555555555555556
11,OG-12,0.9210526315789473,0.875,0.8974358974358975
12,OG-13,0.0,0.0,0.0
13,OS-1,0.0,0.0,0.0
14,OS-2A,0.75,0.625,0.6818181818181818
15,OS-2B,0.0,0.0,0.0
16,OS-3,0.9883720930232558,0.9239130434782609,0.9550561797752809
17,OS-4,0.7037037037037037,0.76,0.7307692307692308
18,OS-5,0.6666666666666666,1.0,0.8
19,OS-6,0.9882352941176471,0.9438202247191011,0.9655172413793103
20,OS-7,0.8809523809523809,0.7872340425531915,0.8314606741573034
21,OS-8,0.9411764705882353,0.7272727272727273,0.8205128205128205
22,OS-9,0.0,0.0,0.0
23,OS-10,1.0,0.7647058823529411,0.8666666666666666
24,OS-11,0.8571428571428571,1.0,0.923076923076923
25,OS-12A,0.6111111111111112,0.6470588235294118,0.6285714285714287
26,OS-12B,0.6666666666666666,0.6666666666666666,0.6666666666666666
27,OS-13,0.8888888888888888,1.0,0.9411764705882353
28,OS-14,0.8148148148148148,1.0,0.8979591836734693
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.6666666666666666,0.11320754716981132,0.1935483870967742
33,OS-18B,1.0,0.14285714285714285,0.25
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.4,0.6666666666666666,0.5
36,OS-20B,0.0,0.0,0.0
37,OS-21,0.8571428571428571,0.7619047619047619,0.8067226890756302
38,OS-22,0.9444444444444444,1.0,0.9714285714285714
39,OS-23,0.0,0.0,0.0
40,OS-24,0.9795918367346939,0.9230769230769231,0.9504950495049506
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,0.0,0.0,0.0
44,OS-28,0.9936708860759493,0.9401197604790419,0.9661538461538461
45,OS-29,0.0,0.0,0.0
46,OS-30,1.0,0.9661016949152542,0.9827586206896551
47,OS-31,None,None,None
48,OS-32,0.9333333333333333,0.8235294117647058,0.8749999999999999
49,OS-33,0.8571428571428571,1.0,0.923076923076923
50,OS-34,0.8,1.0,0.888888888888889
51,OS-35,0.8,1.0,0.888888888888889
52,I,0.9846153846153847,0.6213592233009708,0.7619047619047619
53,II,1.0,0.6615384615384615,0.7962962962962964
54,III-bis,1.0,0.5714285714285714,0.7272727272727273
55,IV,1.0,0.48717948717948717,0.6551724137931034
56,IV-bis,1.0,0.7222222222222222,0.8387096774193548
57,V,1.0,0.7307692307692307,0.8444444444444443
58,VI,1.0,1.0,1.0
59,VII,1.0,0.75,0.8571428571428571
60,VIII,1.0,0.14285714285714285,0.25
