,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9722222222222222,0.9271523178807947,0.9491525423728814
1,OG-2,1.0,0.8611111111111112,0.9253731343283582
2,OG-3,0.8888888888888888,0.8135593220338984,0.8495575221238938
3,OG-4,0.0,0.0,0.0
4,OG-5,None,None,None
5,OG-6,0.23076923076923078,0.3333333333333333,0.27272727272727276
6,OG-7,None,None,None
7,OG-8,1.0,0.8333333333333334,0.9090909090909091
8,OG-9,0.7619047619047619,1.0,0.8648648648648648
9,OG-10,1.0,0.6153846153846154,0.761904761904762
10,OG-11,0.9910313901345291,0.9484978540772532,0.9692982456140351
11,OG-12,0.9722222222222222,0.875,0.9210526315789473
12,OG-13,1.0,0.6666666666666666,0.8
13,OS-1,0.3333333333333333,0.35714285714285715,0.3448275862068965
14,OS-2A,0.5357142857142857,0.625,0.576923076923077
15,OS-2B,0.0,0.0,0.0
16,OS-3,1.0,0.9782608695652174,0.989010989010989
17,OS-4,0.88,0.88,0.88
18,OS-5,1.0,0.5,0.6666666666666666
19,OS-6,0.9333333333333333,0.9438202247191011,0.9385474860335196
20,OS-7,0.868421052631579,0.7021276595744681,0.7764705882352942
21,OS-8,0.8947368421052632,0.7727272727272727,0.8292682926829269
22,OS-9,0.0,0.0,0.0
23,OS-10,1.0,0.5294117647058824,0.6923076923076924
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.8333333333333334,0.5882352941176471,0.6896551724137931
26,OS-12B,0.75,1.0,0.8571428571428571
27,OS-13,0.7777777777777778,0.875,0.823529411764706
28,OS-14,1.0,0.9545454545454546,0.9767441860465117
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,0.0,0.0,0.0
32,OS-18A,0.7857142857142857,0.20754716981132076,0.3283582089552239
33,OS-18B,1.0,0.21428571428571427,0.35294117647058826
34,OS-19,0.0,0.0,0.0
35,OS-20A,0.5,0.6666666666666666,0.5714285714285715
36,OS-20B,0.0,0.0,0.0
37,OS-21,0.98,0.7777777777777778,0.8672566371681417
38,OS-22,1.0,0.9411764705882353,0.9696969696969697
39,OS-23,1.0,0.2,0.33333333333333337
40,OS-24,0.7931034482758621,0.8846153846153846,0.8363636363636363
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,0.0,0.0,0.0
44,OS-28,0.9811320754716981,0.9341317365269461,0.9570552147239264
45,OS-29,1.0,1.0,1.0
46,OS-30,0.9884393063583815,0.9661016949152542,0.9771428571428571
47,OS-31,None,None,None
48,OS-32,0.8947368421052632,1.0,0.9444444444444444
49,OS-33,1.0,0.3333333333333333,0.5
50,OS-34,1.0,1.0,1.0
51,OS-35,0.8,1.0,0.888888888888889
52,I,0.9833333333333333,0.5728155339805825,0.7239263803680982
53,II,1.0,0.7538461538461538,0.8596491228070176
54,III-bis,1.0,0.5714285714285714,0.7272727272727273
55,IV,1.0,0.8461538461538461,0.9166666666666666
56,IV-bis,1.0,0.9444444444444444,0.9714285714285714
57,V,1.0,0.6538461538461539,0.7906976744186047
58,VI,1.0,0.7692307692307693,0.8695652173913044
59,VII,1.0,0.5,0.6666666666666666
60,VIII,1.0,0.42857142857142855,0.6
