,Labels,Regex P,Regex R,Regex F
0,OG-1,0.9615384615,0.8928571429,0.9259259259
1,OG-2,1.0,0.9166666667,0.9565217391
2,OG-3,1.0,0.9285714286,0.962962963
3,OG-4,None,None,None
4,OG-5,None,None,None
5,OG-6,0.5,1.0,0.6666666667
6,OG-7,None,None,None
7,OG-8,None,None,None
8,OG-9,1.0,1.0,1.0
9,OG-10,1.0,1.0,1.0
10,OG-11,0.9636363636,1.0,0.9814814815
11,OG-12,1.0,0.75,0.8571428571
12,OG-13,None,None,None
13,OS-1,1.0,1.0,1.0
14,OS-2A,0.8,0.5,0.6153846154
15,OS-2B,1.0,1.0,1.0
16,OS-3,1.0,0.9375,0.9677419355
17,OS-4,0.7777777778,1.0,0.875
18,OS-5,1.0,1.0,1.0
19,OS-6,1.0,0.8888888889,0.9411764706
20,OS-7,1.0,1.0,1.0
21,OS-8,1.0,1.0,1.0
22,OS-9,None,None,None
23,OS-10,1.0,0.8888888889,0.9411764706
24,OS-11,1.0,1.0,1.0
25,OS-12A,0.5,0.8,0.6153846154
26,OS-12B,0.0,0.0,0.0
27,OS-13,1.0,1.0,1.0
28,OS-14,0.0,0.0,0.0
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,1.0,1.0,1.0
32,OS-18A,1.0,0.7142857143,0.8333333333
33,OS-18B,0.0,0.0,0.0
34,OS-19,1.0,1.0,1.0
35,OS-20A,1.0,1.0,1.0
36,OS-20B,1.0,1.0,1.0
37,OS-21,0.7692307692,0.8333333333,0.8
38,OS-22,1.0,0.5,0.6666666667
39,OS-23,0.5,0.5,0.5
40,OS-24,0.8571428571,1.0,0.9230769231
41,OS-25,1.0,1.0,1.0
42,OS-26,None,None,None
43,OS-27,None,None,None
44,OS-28,0.8857142857,0.96875,0.9253731343
45,OS-29,None,None,None
46,OS-30,0.9642857143,1.0,0.9818181818
47,OS-31,None,None,None
48,OS-32,0.8,0.8,0.8
49,OS-33,1.0,1.0,1.0
50,OS-34,1.0,1.0,1.0
51,OS-35,1.0,1.0,1.0
52,I,0.5454545455,0.4444444444,0.4897959184
53,II,0.5416666667,0.5416666667,0.5416666667
54,III-bis,0.0,0.0,0.0
55,IV,0.3333333333,0.5,0.4
56,IV-bis,0.0,0.0,0.0
57,V,1.0,1.0,1.0
58,VI,0.2857142857,0.5,0.3636363636
59,VII,0.0,0.0,0.0
60,VIII,None,None,None
