,Labels,Regex P,Regex R,Regex F
0,OG-1,0.7720797720797721,0.8973509933774835,0.8300153139356814
1,OG-2,0.967741935483871,0.8333333333333334,0.8955223880597015
2,OG-3,0.7843137254901961,0.6779661016949152,0.7272727272727273
3,OG-4,1.0,0.5,0.6666666666666666
4,OG-5,None,None,None
5,OG-6,1.0,0.6666666666666666,0.8
6,OG-7,None,None,None
7,OG-8,0.8571428571428571,1.0,0.923076923076923
8,OG-9,0.6190476190476191,0.8125,0.7027027027027026
9,OG-10,1.0,0.6153846153846154,0.761904761904762
10,OG-11,0.7811158798283262,0.7811158798283262,0.7811158798283262
11,OG-12,0.7272727272727273,0.8,0.761904761904762
12,OG-13,0.0,0.0,0.0
13,OS-1,1.0,0.8571428571428571,0.923076923076923
14,OS-2A,0.3333333333333333,0.5833333333333334,0.4242424242424242
15,OS-2B,0.0,0.0,0.0
16,OS-3,0.5877192982456141,0.7282608695652174,0.6504854368932039
17,OS-4,0.38461538461538464,0.6,0.46875
18,OS-5,1.0,0.4,0.5714285714285715
19,OS-6,0.6981132075471698,0.8314606741573034,0.758974358974359
20,OS-7,0.8461538461538461,0.7021276595744681,0.7674418604651163
21,OS-8,0.9090909090909091,0.45454545454545453,0.6060606060606061
22,OS-9,0.0,0.0,0.0
23,OS-10,0.7272727272727273,0.47058823529411764,0.5714285714285714
24,OS-11,1.0,0.16666666666666666,0.2857142857142857
25,OS-12A,0.45454545454545453,0.29411764705882354,0.35714285714285715
26,OS-12B,1.0,0.3333333333333333,0.5
27,OS-13,0.9090909090909091,0.625,0.7407407407407406
28,OS-14,0.64,0.7272727272727273,0.6808510638297872
29,OS-15,None,None,None
30,OS-16,None,None,None
31,OS-17,1.0,1.0,1.0
32,OS-18A,0.5,0.4528301886792453,0.4752475247524752
33,OS-18B,0.0,0.0,0.0
34,OS-19,1.0,1.0,1.0
35,OS-20A,1.0,0.3333333333333333,0.5
36,OS-20B,1.0,0.2,0.33333333333333337
37,OS-21,0.7735849056603774,0.6507936507936508,0.706896551724138
38,OS-22,1.0,0.4117647058823529,0.5833333333333334
39,OS-23,1.0,0.8,0.888888888888889
40,OS-24,0.7254901960784313,0.7115384615384616,0.7184466019417477
41,OS-25,1.0,0.2857142857142857,0.4444444444444445
42,OS-26,None,None,None
43,OS-27,1.0,1.0,1.0
44,OS-28,0.848,0.6347305389221557,0.726027397260274
45,OS-29,1.0,1.0,1.0
46,OS-30,0.9173553719008265,0.6271186440677966,0.7449664429530202
47,OS-31,None,None,None
48,OS-32,0.9230769230769231,0.7058823529411765,0.8000000000000002
49,OS-33,1.0,0.16666666666666666,0.2857142857142857
50,OS-34,0.0,0.0,0.0
51,OS-35,0.0,0.0,0.0
52,I,1.0,0.33980582524271846,0.5072463768115942
53,II,1.0,0.4307692307692308,0.6021505376344086
54,III-bis,1.0,0.42857142857142855,0.6
55,IV,0.9,0.46153846153846156,0.6101694915254238
56,IV-bis,0.9285714285714286,0.7222222222222222,0.8125000000000001
57,V,0.9333333333333333,0.5384615384615384,0.6829268292682926
58,VI,1.0,0.46153846153846156,0.631578947368421
59,VII,1.0,0.625,0.7692307692307693
60,VIII,1.0,0.38095238095238093,0.5517241379310345
